id,name,source_family,has_seats,has_cutoffs,has_fees,has_placements,truth_density_score,surface_tier,public_listing_visible,search_visible,detail_accessible,certified_badge_allowed,release_metrics_included,reason
"CORE-GHANI-KHAN-CHOUDHARY-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-MALDA-WEST-BENGAL","Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","OTHER","true","true","true","","75","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Non-flagship with full truth available (Pending inclusion policy)"
"CORE-IIIT-KARNATAKA","CORE IIIT KARNATAKA","IIIT","","true","true","","50","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Elite/GFTI flagship with partial truth data (Gap case)"
"CORE-IIIT-RAJASTHAN","CORE IIIT RAJASTHAN","IIIT","","true","true","","50","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Elite/GFTI flagship with partial truth data (Gap case)"
"CORE-INSTITUTE-OF-INFRASTRUCTURE-TECHNOLOGY-RESEARCH-AND-MANAGEMENT-AHMEDABAD","Institute of Infrastructure, Technology, Research and Management-Ahmedabad","OTHER","true","true","true","","75","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Non-flagship with full truth available (Pending inclusion policy)"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-BHUBANESWAR","International Institute of Information Technology, Bhubaneswar","OTHER","true","true","true","","75","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Non-flagship with full truth available (Pending inclusion policy)"
"CORE-INTERNATIONAL-INSTITUTE-OF-INFORMATION-TECHNOLOGY-NAYA-RAIPUR","International Institute of Information Technology, Naya Raipur","OTHER","true","true","true","","75","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Non-flagship with full truth available (Pending inclusion policy)"
"CORE-GATI-SHAKTI-VISHWAVIDYALAYA-VADODARA","Gati Shakti Vishwavidyalaya, Vadodara","OTHER","true","true","true","","75","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Non-flagship with full truth available (Pending inclusion policy)"
"CORE-INSTITUTE-OF-ENGINEERING-AND-TECHNOLOGY-DR-H-S-GOUR-UNIVERSITY-SAGAR","Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)","UNIVERSITY","true","true","true","","75","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Non-flagship with full truth available (Pending inclusion policy)"
"CORE-NATIONAL-INSTITUTE-OF-ADVANCED-MANUFACTURING-TECHNOLOGY-RANCHI","National Institute of Advanced Manufacturing Technology, Ranchi","OTHER","true","true","true","","75","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Non-flagship with full truth available (Pending inclusion policy)"
"CORE-PUDUCHERRY-TECHNOLOGICAL-UNIVERSITY-PUDUCHERRY","Puducherry Technological University, Puducherry","UNIVERSITY","true","true","true","","75","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Non-flagship with full truth available (Pending inclusion policy)"
"CORE-SCHOOL-OF-STUDIES-OF-ENGINEERING-AND-TECHNOLOGY-GURU-GHASIDAS-VISHWAVIDYALAYA-BILASPUR","School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur","OTHER","true","true","true","","75","PUBLIC_REVIEW","FALSE","TRUE","TRUE","FALSE","FALSE","Non-flagship with full truth available (Pending inclusion policy)"
