id,name,source_family,has_seats,has_cutoffs,has_fees,has_placements,truth_density_score,surface_tier,public_listing_visible,search_visible,detail_accessible,certified_badge_allowed,release_metrics_included,reason
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-MESRA-RANCHI","Birla Institute of Technology, Mesra, Ranchi","GFTI","true","true","true","true","100","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-CHITTOOR","CORE IIIT CHITTOOR","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-GUWAHATI","CORE IIIT GUWAHATI","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-MANIPUR","CORE IIIT MANIPUR","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-TIRUCHIRAPPALLI","CORE IIIT TIRUCHIRAPPALLI","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-ASSAM-UNIVERSITY-SILCHAR","Assam University, Silchar","GFTI","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-GWALIOR","Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-DEOGHAR","Birla Institute of Technology, Deoghar Off-Campus","GFTI","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-PATNA","Birla Institute of Technology, Patna Off-Campus","GFTI","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-CENTRAL-UNIVERSITY-OF-HARYANA","Central University of Haryana","GFTI","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-CENTRAL-UNIVERSITY-OF-JAMMU","Central University of Jammu","GFTI","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-GURUKULA-KANGRI-VISHWAVIDYALAYA-HARIDWAR","Gurukula Kangri Vishwavidyalaya, Haridwar","GFTI","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-RAICHUR","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RAICHUR","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-VADODARA","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY VADODARA INTERNATIONAL CAMPUS DIU","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-KALYANI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-AGARTALA","Indian Institute of Information Technology Agartala","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-KOTA","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-KOTTAYAM","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-NAGPUR","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-PUNE","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIIT-RANCHI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, RANCHI","IIIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-VARANASI","Indian Institute of Technology (Banaras Hindu University), Varanasi","IIT","true","true","true","true","100","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-DHANBAD","Indian Institute of Technology (Indian School of Mines), Dhanbad","IIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-BHILAI","Indian Institute of Technology Bhilai","IIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-BOMBAY","Indian Institute of Technology Bombay","IIT","true","true","true","true","100","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-DELHI","Indian Institute of Technology Delhi","IIT","true","true","true","true","100","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-GUWAHATI","Indian Institute of Technology Guwahati","IIT","true","true","true","true","100","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-HYDERABAD","Indian Institute of Technology Hyderabad","IIT","true","true","true","true","100","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-JAMMU","Indian Institute of Technology Jammu","IIT","true","true","true","","75","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-KANPUR","Indian Institute of Technology Kanpur","IIT","true","true","true","true","100","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-KHARAGPUR","Indian Institute of Technology Kharagpur","IIT","true","true","true","true","100","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-MADRAS","Indian Institute of Technology Madras","IIT","true","true","true","true","100","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
"CORE-IIT-ROORKEE","Indian Institute of Technology Roorkee","IIT","true","true","true","true","100","CERTIFIED_PUBLIC","TRUE","TRUE","TRUE","TRUE","TRUE","Elite/GFTI flagship with full admission truth (Seats + Cutoffs)"
