id,name,source_family,has_seats,has_cutoffs,has_fees,has_placements,has_provenance,truth_density_score,recommendation,reason,blocker_or_review_flag
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-MESRA-RANCHI","Birla Institute of Technology, Mesra, Ranchi","GFTI","true","true","true","true","","100","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-CHITTOOR","CORE IIIT CHITTOOR","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-GUWAHATI","CORE IIIT GUWAHATI","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-KARNATAKA","CORE IIIT KARNATAKA","IIIT","","true","true","","","50","KEEP_PUBLIC_LOW_TRUTH","Elite/GFTI flagship with partial truth data (Gap Case)","REVIEW_LOW_RISK"
"CORE-IIIT-MANIPUR","CORE IIIT MANIPUR","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-RAJASTHAN","CORE IIIT RAJASTHAN","IIIT","","true","true","","","50","KEEP_PUBLIC_LOW_TRUTH","Elite/GFTI flagship with partial truth data (Gap Case)","REVIEW_LOW_RISK"
"CORE-IIIT-TIRUCHIRAPPALLI","CORE IIIT TIRUCHIRAPPALLI","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-ASSAM-UNIVERSITY-SILCHAR","Assam University, Silchar","GFTI","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-GWALIOR","Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-DEOGHAR","Birla Institute of Technology, Deoghar Off-Campus","GFTI","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-BIRLA-INSTITUTE-OF-TECHNOLOGY-PATNA","Birla Institute of Technology, Patna Off-Campus","GFTI","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-CENTRAL-UNIVERSITY-OF-HARYANA","Central University of Haryana","GFTI","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-CENTRAL-UNIVERSITY-OF-JAMMU","Central University of Jammu","GFTI","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-GURUKULA-KANGRI-VISHWAVIDYALAYA-HARIDWAR","Gurukula Kangri Vishwavidyalaya, Haridwar","GFTI","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-RAICHUR","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RAICHUR","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-VADODARA","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY VADODARA INTERNATIONAL CAMPUS DIU","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-KALYANI","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-AGARTALA","Indian Institute of Information Technology Agartala","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-KOTA","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
"CORE-IIIT-KOTTAYAM","INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM","IIIT","true","true","true","","","75","KEEP_PUBLIC_CERTIFIED","Elite/GFTI with full admission truth","SAFE"
